4718672,Bettina,8.86,5
4779944,Harriot,7.04,2
2456901,Hazlett,6.76,2
4403568,Debora,9.85,3
6092072,Theo,7.87,2
2168801,Nicol,6.66,3
5302594,Mindy,8.87,3
4870132,Mandie,9.86,1
1830531,Yehudi,7.02,1
5800039,Welch,7.87,2
666674,Earle,7.96,5
4675030,Cassey,7.81,4
5459523,Guglielmo,7.04,3
9864610,Nowell,9.94,3
9186194,Vincenty,9.66,2
5527754,Florina,9.33,1
4429877,Odey,9.77,3
5806196,Merry,8.38,4
7950365,Fayette,9.27,3
4834613,Beaufort,7.09,3
8289105,Vivyanne,9.58,3
7361887,Yetty,6.74,2
9866203,Yasmin,6.4,4
858146,Berkie,9.5,2
757516,Piotr,6.86,3
2900076,Carr,8.68,5
9408668,Tandie,9.71,2
2277467,Allx,7.81,4
6438862,Grantham,9.11,1
5998449,Umeko,8.42,4
102069,Leyla,8.15,2
9080252,Glenine,6.88,1
4339693,Silvan,9.64,5
7592829,Trstram,8.76,5
5347954,Colette,9.64,5
7822255,Dominga,8.93,3
1327502,Quillan,7.13,5
4716547,Lesley,8.38,2
2054696,Guntar,6.99,3
2425843,Corly,8.03,4
7330200,Yule,9.92,1
6107914,Hannah,7.62,3
3197024,Emalia,8.05,5
9191681,Kylie,9.95,2
54061,Baily,9.11,3
37929,Allie,7.05,5
4168941,Lianne,9.14,1
7096216,Leanor,7.11,2
8890076,Mahmud,7.78,3
2153880,Garfield,6.66,3
5257252,Shane,8.93,3
3115919,Francene,6.48,3
1122491,Jourdan,6.25,4
5895454,Jasen,9.79,5
9999389,Shirlee,9.69,1
4954679,Rurik,6.95,5
6591561,Fleming,7.1,2
8592015,Inglebert,8.02,2
5715309,Garrot,6.99,4
2668440,Petra,7.96,2
7228986,Oliver,7.15,3
5875040,Amory,8.28,1
1824359,Faun,7.2,3
5289711,Ole,7.24,3
3348830,Jordan,9.51,2
5167379,Justine,7.36,3
5739543,Jaye,7.67,5
7897055,Ettore,6.6,5
197271,Ev,7.25,4
2775787,Prent,6.78,5
7835192,Thorin,6.91,1
4787606,Selle,8.1,1
